carrec,r2013,dieta,dietes,retribucio,total,nom,dept,detalls,naut,danual,column,column2,carrec2
Consell d'Administració del Centre d'lnserció i Rehabiıitacıó (cıRE) | Assistent,2,378,€756.00,,€756.00,"Abad Giralt, Elisabeth",JU,,378,756,,,Assistent
Consell Assessor de Ports de la Generalitat | Vocal (President de la Federació de Confraries de Girona),3,167.68,€503.04,,€503.04,"Abad Mallol, Antoni",PO,,167.68,503.04,,,Vocal (President de la Federació de Confraries de Girona)
Comissió Assessora sobre la Publicitat Institucional | Vocal,3,246.11,€738.33,,€738.33,"Abancens Casorran, Miguel Angel",PR,"es diu Jose Angel, no Miguel Angel",246.11,738.33,,,Vocal
Consell Rector Escola d'Administració Pública de Catalunya | Vocal,2,94.66,€189.32,,€189.32,"Abella Ametller, Carles",GO,,94.66,189.32,,,Vocal
Autoritat Cataiana de Protecció de dades - Consell Assessor | Vocal,4,64.91,€259.64,,€259.64,"Acín Ferrer, Àngela",GO,,64.91€,259.64,,,Vocal
Patronat ESMUC  | Patró,2,120,€240.00,,€240.00,"Adroher Boter, Olga",EN,,120,240,,,Patró
Junta Arbitral del Transport de Catalunya. Barcelona | Secretari  (Direcció de Serveis del Departament de Territori i Sostenibilitat),25,64.91,"€1,622.75",,"€1,622.75","Agramunt Andreu, Joan",PO,,64.91,1622.75,,,Secretari  (Direcció de Serveis del Departament de Territori i Sostenibilitat)
Comissió Territorial d’Urbanisme de Tarragona | Vocal Director dels Serveis Territorials del Departament de Cultura a Tarragona,8,64.91,€519.28,,€519.28,"Agràs Estalella, Jordi",PO,,64.91,519.28,,,Vocal Director dels Serveis Territorials del Departament de Cultura a Tarragona
Comissió de Cooperació Local de Catalunya | Vocals suplents Generalitat,3,37.86,€113.58,,€113.58,"Agud Ferrer, Laura",GO,,Pendent autorització,113.58,,,Vocals suplents Generalitat
Junta de Govern de la Institució de les Lletres Catalanes | Vocal en repr. del Consell Assessor de la ILC,6,59.5,€357.00,,€357.00,"Aguiló Miquel, Anna",CU,,59.5,357,,,Vocal en repr. del Consell Assessor de la ILC
Consell Assessor de la Institució de les Lletres Catalanes | Vocal en repr. de l'associació Espais Escrits. Xarxa de Patrimoni Literari català,2,59.5,€119.00,,€119.00,"Aguiló Miquel, Anna",CU,,59.5,119,,,Vocal en repr. de l'associació Espais Escrits. Xarxa de Patrimoni Literari català
Consell d’Administració de l’Institut Català del Sòl | Vocal (Director l’ACA),4,571.73,"€2,286.92",,"€2,286.92","Agustí Vergés, Jordi",PO,,571.73,2286.92,,,Vocal (Director l’ACA)
Consell d’Administració de l’Agencia Catalana de l’Aigua | Vicepresident (Director de l'ACA),4,551.72,"€2,206.88",,"€2,206.88","Agustí Vergés, Jordi",PO,,551.72,2206.88,,,Vicepresident (Director de l'ACA)
